,Movie_Name,Release_Yr,Movie_Rating,Duration,IMDb_Rating,Popularity,Genre,Movie_Desc,Director,Writers,Movie_stars,Oscars_Won,Awards_Won,Nominations
158,Howl's Moving Castle,2004,PG,1h 59m,8.2,61683,"Animation, Adventure, Family","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle",Hayao Miyazaki,"['Hayao Miyazaki', 'Diana Wynne Jones']","['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa', 'Ryunosuke Kamiki', 'Mitsunori Isaki', 'Yô Ôizumi', 'Akio Ôtsuka', 'Daijirô Harada', 'Haruko Katô', 'Jean Simmons', 'Christian Bale', 'Lauren Bacall', 'Blythe Danner', 'Emily Mortimer', 'Josh Hutcherson', 'Billy Crystal', 'Jena Malone']",1,0,0
159,The Elephant Man,1980,PG,2h 4m,8.2,"2,182","Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"['Christopher De Vore', 'Eric Bergren', 'David Lynch']","['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']",8,0,0
160,Chinatown,1974,R,2h 10m,8.1,759151,"['Drama', 'Mystery', 'Thriller']","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"['Robert Towne', 'Roman Polanski']","['Jack Nicholson', 'Faye Dunaway', 'John Huston']",1,0,0
161,Dial M for Murder,1954,PG,1h 45m,8.2,"3,890","Crime
Thriller",A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,['Frederick Knott'],"['Ray Milland', 'Grace Kelly', 'Robert Cummings']",1,0,0
162,Gone with the Wind,1939,G,3h 58m,8.2,703165,"Drama, Romance, War",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"Victor Fleming, George Cukor, Sam Wood","['Margaret Mitchell', 'Sidney Howard', 'Oliver H.P. Garrett']","['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']",8,0,0
164,"Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,8.1,43925,"['Action', 'Comedy', 'Crime']","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,['Guy Ritchie'],"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham', 'Steven Mackintosh', 'Nicholas Rowe', 'Nick Marcq', 'Charles Forbes', 'Vinnie Jones', 'Lenny McLean', 'Peter McNicholl', 'P.H. Moriarty', 'Frank Harper', 'Steve Sweeney', 'Huggy Leaver', 'Paul', 'Ronnie Fox', 'Mickey', 'Tony McMahon', 'John', 'Stephen Marcus']",0,0,0
166,Inside Out,2015,PG,1h 35m,8.1,638127,"Animation,Adventure,Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Pete Docter, Ronnie Del Carmen","['Pete Docter', 'Ronnie Del Carmen', 'Meg LeFauve']","['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Phyllis Smith', 'Richard Kind', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan', 'Paula Poundstone', 'Bobby Moynihan', 'Paula Pell', 'Dave Goelz', 'Frank Oz', 'Josh Cooley', 'Flea', 'John Ratzenberger', 'Carlos Alazraqui']",1,99,118
169,Trainspotting,1996,R,1h 33m,8.1,59086,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle,"['Irvine Welsh', 'John Hodge']","['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd', 'Robert Carlyle', 'Kelly Macdonald', 'Peter Mullan', 'James Cosmo', 'Eileen Nicholas', 'Susan Vidler', 'Pauline Lynch', 'Shirley Henderson', 'Stuart McQuarrie', 'Irvine Welsh', 'Dale Winton', 'Keith Allen', 'Kevin Allen', 'Annie Louise Ross']",1,0,0
170,The Bridge on the River Kwai,1957,PG,2h 41m,8.1,2815,"['Adventure', 'Drama', 'War']","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,"['Pierre Boulle', 'Carl Foreman', 'Michael Wilson']","['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa', 'James Donald', 'Geoffrey Horne', 'André Morell', 'Peter Williams', 'John Boxer', 'Percy Herbert', 'Harold Goodwin', 'Ann Sears', 'Heihachirô Ôkawa', 'Keiichirô Katsumoto']",7,0,0
172,Fargo,1996,R,1h 38m,8.1,50259,"['Crime', 'Thriller']",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"['Joel Coen', 'Ethan Coen']","['Ethan Coen', 'Joel Coen']","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare', 'Kristin Rudrüd', 'Harve Presnell', 'Tony Denman', 'Gary Houston']",2,0,0
173,Klaus,2019,PG,1h 36m,8.2,"4,859","['Animation', 'Adventure', 'Comedy']","When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","['Sergio Pablos', 'Carlos Martínez López']","['Sergio Pablos', 'Jim Mahoney', 'Zach Lewis']","['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones']",1,0,0
174,Catch Me If You Can,2002,PG-13,2h 21m,8.1,407130,"Biography, Crime, Drama","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"['Frank Abagnale Jr.', 'Stan Redding', 'Jeff Nathanson']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",2,0,0
175,Warrior,2011,PG-13,2h 20m,8.1,822163,"['Action', 'Drama', 'Sport']","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"[""Gavin O'Connor"", 'Anthony Tambakis', 'Cliff Dorfman']","['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison', 'Frank Grillo', 'Kevin Dunn', 'Maximiliano Hernández', 'Bryan Callen', 'Sam Sheridan', 'Fernando Chien', 'Jake McLaughlin', 'Mark Bradford', 'Vanessa Martinez', 'Pilar Fernandez', 'Denzel Whitaker', 'Carlos Miranda', 'Nick Lehane', 'Laura Chinn', 'Capri Thomas', 'Lexi Cowan']",1,0,0
176,Godzilla Minus One,2023,PG-13,2h 4m,8.3,528,"Action, Adventure, Drama","Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Takashi Yamazaki,"['Ishirô Honda', 'Takeo Murata', 'Takashi Yamazaki']","['Minami Hamabe', 'Sakura Andô', 'Ryunosuke Kamiki']",1,0,0
177,Gran Torino,2008,R,1h 56m,8.1,"1,568203",Drama,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Clint Eastwood,"['Nick Schenk', 'Dave Johannson']","['Clint Eastwood', 'Bee Vang', 'Christopher Carley']",0,0,0
178,My Neighbor Totoro,1988,G,1h 26m,8.1,"1,724","['Animation', 'Comedy', 'Family']","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,['Hayao Miyazaki'],"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto']",0,0,0
179,Million Dollar Baby,2004,PG-13,2h 12m,8.1,"1,457226","Drama, Sport","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Clint Eastwood,"['Paul Haggis', 'F.X. Toole']","['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']",4,0,0
180,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,8.1,37253,"Adventure
Family
Fantasy","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon', 'Ralph Fiennes', 'Alan Rickman', 'Evanna Lynch', 'Domhnall Gleeson', 'Clémence Poésy', 'Warwick Davis', 'John Hurt', 'Helena Bonham Carter', 'Graham Duff', 'Anthony Allgood', 'Rusty Goffe', 'Jon Key', 'Kelly Macdonald', 'Jason Isaacs']",3,0,0
181,Children of Heaven,1997,PG,1h 29m,8.2,81K,"Drama, Family, Sport","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,['Majid Majidi'],"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",1,0,0
182,12 Years a Slave,2013,R,2h 14m,8.1,"1,1614","Biography, Drama, History","In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"['John Ridley', 'Solomon Northup']","['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender']",3,0,0
183,Blade Runner,1982,R,1h 57m,8.1,32426,"['Action', 'Drama', 'Sci-Fi']",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,"['Hampton Fancher', 'David Webb Peoples', 'Philip K. Dick']","['Harrison Ford', 'Rutger Hauer', 'Sean Young']",2,0,0
184,Before Sunrise,1995,R,1h 41m,8.1,"1,23155","Drama
Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"['Richard Linklater', 'Kim Krizan']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",1,0,7
185,Ben-Hur,1959,G,3h 32m,8.1,163301,"Adventure, Drama","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",William Wyler,"['Lew Wallace', 'Karl Tunberg', 'Gore Vidal']","['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet', 'Hugh Griffith', 'Martha Scott', ""Cathy O'Donnell"", 'Sam Jaffe', 'Finlay Currie', 'Frank Thring', 'Terence Longdon', 'George Relph', 'André Morell']",11,0,0
186,The Grand Budapest Hotel,2014,R,1h 39m,8.1,43538,Adventure | Comedy | Crime,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"['Wes Anderson', 'Hugo Guinness', 'Stefan Zweig']","['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']",4,0,0
187,Barry Lyndon,1975,PG,3h 5m,8.1,"1,791108","Adventure, Drama, War",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,"['Stanley Kubrick', 'William Makepeace Thackeray']","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']",4,0,0
189,Hacksaw Ridge,2016,R,2h 19m,8.1,52821,"['Biography', 'Drama', 'History', 'World War II']","World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"['Robert Schenkkan', 'Andrew Knight']","['Andrew Garfield', 'Sam Worthington', 'Luke Bracey']",2,0,0
190,The Gold Rush,1925,,1h 35m,8.1,0,"['Adventure', 'Comedy', 'Drama']","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,['Charles Chaplin'],"['Charles Chaplin', 'Mack Swain', 'Tom Murray']",2,0,0
191,In the Name of the Father,1993,R,2h 13m,8.1,"1,323","Biography, Crime, Drama","An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",Jim Sheridan,"['Gerry Conlon', 'Terry George', 'Jim Sheridan']","['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie']",7,0,0
192,Memories of Murder,2003,Not Rated,2h 12m,8.1,88242,CrimeDramaMystery,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"['Bong Joon Ho', 'Kwang-rim Kim', 'Sung-bo Shim']","['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roe-ha', 'Song Jae-ho', 'Byun Hee-Bong', 'Ko Seo-hie', 'Ryu Tae-ho', 'Jo Byeong-soon', 'Park No-shik', 'Baek Gwang-ho', 'Park Hae-il', 'Jeon Mi-seon', 'Seo Young-hwa', 'Woo Go-na', 'Kim So-hyeon', 'Ok-joo Lee', 'Oh Nam-joo', 'Choi Jong-ryol', 'Yoo Seung-mok', 'Hun-Kyung Lee', 'Shin Hyun-jong', 'Lee Jae-eung']",0,0,0
194,On the Waterfront,1954,Approved,1h 48m,8.1,"2862,744","Crime, Drama, Thriller","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,"['Budd Schulberg', 'Malcolm Johnson', 'Robert Siodmak']","['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Eva Marie Saint', 'Rod Steiger']",8,0,0
195,The General,1926,Passed,1h 18m,8.1,98K,"['Action', 'Adventure', 'Comedy']","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","['Clyde Bruckman', 'Buster Keaton']","['Buster Keaton', 'Clyde Bruckman', 'Al Boasberg']","['Buster Keaton', 'Marion Mack', 'Glen Cavender']",2,0,1
196,Wild Tales,2014,R,2h 2m,8.1,"2,019","['Comedy', 'Drama', 'Thriller']",Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,"['Julian Loyola', 'Damián Szifron', 'Germán Servidio']","['Darío Grandinetti', 'María Marull', 'Mónica Villa']",1,0,0
197,The Deer Hunter,1978,R,3h 3m,8.1,493429,"Drama, War",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,"['Michael Cimino', 'Deric Washburn', 'Louis Garfinkle']","['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage', 'Meryl Streep', 'George Dzundza', 'Chuck Aspegren', 'Shirley Stoler', 'Rutanya Alda', 'Pierre Segui', 'Mady Kaplan', 'Amy Wright', 'Mary Ann Haenel', 'Richard Kuss', 'Joe Grifasi', 'Christopher Colombi Jr.', 'Victoria Karnafel', 'Jack Scardino']",5,0,0
199,"Monsters, Inc.",2001,G,1h 32m,8.1,93114,AnimationAdventureComedy,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Pete DocterDavid SilvermanLee Unkrich,"['Pete Docter', 'Jill Culton', 'Jeff Pidgeon']","['Billy Crystal', 'John Goodman', 'Mary Gibbs']",1,0,0
200,Sherlock Jr.,1924,Passed,45m,8.2,201,"['Action', 'Comedy', 'Romance']","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,"['Jean C. Havez', 'Joseph A. Mitchell', 'Clyde Bruckman']","['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton']",2,0,0
201,The Third Man,1949,Approved,1h 33m,8.1,"3,196375",Film-NoirMysteryThriller,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,"['Graham Greene', 'Orson Welles', 'Alexander Korda']","['Orson Welles', 'Joseph Cotten', 'Alida Valli']",1,0,0
202,Wild Strawberries,1957,Not Rated,1h 31m,8.1,115K,DramaRomance,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,['Ingmar Bergman'],"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']",1,0,0
203,The Wages of Fear,1953,Not Rated,2h 11m,8.2,"4661,802","Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,"['Georges Arnaud', 'Henri-Georges Clouzot', 'Jérôme Géronimi']","['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli', 'Vera Clouzot', 'William Tubbs', 'Dario Moreno', 'Jo Dest', 'Antonio Centa', 'Luis De Lima', 'Grégoire Gromoff', 'Josep Palau i Fabre', 'Seguna Darling Légitimus', 'René Baranger', 'Charles Fawcett']",0,0,0
204,Jaws,1975,PG,2h 4m,8.1,69524,"['Adventure', 'Mystery', 'Thriller']","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,"['Peter Benchley', 'Carl Gottlieb']","['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",3,0,0
205,How to Train Your Dragon,2010,PG,1h 38m,8.1,"1,04469","['Animation', 'Action', 'Adventure']","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","['Dean DeBlois', 'Chris Sanders']","['William Davies', 'Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'T.J. Miller', 'Kristen Wiig', 'Robin Atkin Downes', 'Philip McGrade', 'Kieron Elliott', 'Ashley Jensen', 'David Tennant']",2,0,0
206,Mary and Max,2009,Not Rated,1h 32m,8.1,187K,"['Animation', 'Comedy', 'Drama']","In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",Adam Elliot,['Adam Elliot'],"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana']",0,0,0
207,Mr. Smith Goes to Washington,1939,Passed,2h 9m,8.1,0,ComedyDrama,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra,"['Sidney Buchman', 'Lewis R. Foster', 'Myles Connolly']","['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold', 'Guy Kibbee']",1,0,0
208,Ratatouille,2007,G,1h 51m,8.1,52924,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Brad Bird, Jan Pinkava","['Brad Bird', 'Jan Pinkava', 'Jim Capobianco']","['Brad Garrett', 'Lou Romano', 'Patton Oswalt']",1,0,0
209,Ford v Ferrari,2019,PG-13,2h 32m,8.1,13055,"['Action', 'Biography', 'Drama']",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"['Jez Butterworth', 'John-Henry Butterworth', 'Jason Keller']","['Matt Damon', 'Christian Bale', 'Jon Bernthal']",2,0,0
211,Tokyo Story,1953,Not Rated,2h 16m,8.1,"4,889",Drama,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,"['Kôgo Noda', 'Yasujirô Ozu']","['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura']",0,0,0
212,Room,2015,R,1h 58m,8.1,"1,240","Drama, Thriller","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson,['Emma Donoghue'],"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers']",1,0,0
213,The Seventh Seal,1957,Not Rated,1h 36m,8.1,"2,272","Drama, Fantasy","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,['Ingmar Bergman'],"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']",9,0,2
214,Rocky,1976,PG,2h,8.1,"1,195147","Drama, Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,['Sylvester Stallone'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith', 'Thayer David', 'Joe Spinell', 'Jimmy Gambina', 'Mike']",3,0,0
215,Logan,2017,R,2h 17m,8.1,46717,ActionDramaSci-Fi,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"['James Mangold', 'Scott Frank', 'Michael Green']","['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook', 'Stephen Merchant', 'Elizabeth Rodriguez', 'Richard E. Grant', 'Eriq La Salle', 'Elise Neal', 'Quincy Fouse', 'Al Coronel', 'Frank Gallegos', 'Anthony Escobar', 'Reynaldo Gallegos', 'Krzysztof Soszynski', 'Stephen Dunlevy', 'Daniel Bernhardt', 'Ryan Sturz']",1,0,0
216,Spotlight,2015,R,2h 9m,8.1,"1,038","Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"['Josh Singer', 'Tom McCarthy']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']",2,0,0
217,Hotel Rwanda,2004,PG-13,2h 1m,8.1,"3,362566","Biography, Drama, History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"['Keir Pearson', 'Terry George']","['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']",3,0,0
218,Platoon,1986,R,2h,8.1,564111,"Drama, War","A neophyte recruit in Vietnam finds himself caught in a battle of wills between two sergeants, one good and the other evil.",Oliver Stone,['Oliver Stone'],"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']",4,0,0
219,The Terminator,1984,R,1h 47m,8.1,45519,"Action, Adventure, Sci-Fi","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,"['James Cameron', 'Gale Anne Hurd', 'William Wisher']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']",0,0,0
220,The Passion of Joan of Arc,1928,Passed,1h 54m,8.1,61K,"['Biography', 'Drama', 'History']","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,"['Joseph Delteil', 'Carl Theodor Dreyer']","['Maria Falconetti', 'Eugene Silvain', 'André Berley']",0,0,0
221,Before Sunset,2004,R,1h 20m,8.1,"2,81167","Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"['Richard Linklater', 'Julie Delpy', 'Ethan Hawke']","['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']",1,0,0
223,The Best Years of Our Lives,1946,Approved,2h 50m,8.1,"4,268","Drama
Romance
War","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,"['Robert E. Sherwood', 'MacKinlay Kantor']","['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright', 'Virginia Mayo', ""Cathy O'Donnell"", 'Hoagy Carmichael', 'Harold Russell', 'Gladys George', 'Roman Bohnen', 'Ray Collins', 'Minna Gombell', 'Walter Baldwin', 'Steve Cochran', 'Dorothy Adams', 'Don Beddoe', 'Marlene Aames', 'Charles Halton']",7,0,0
224,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,8.1,23549,"Action
AdventureFantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']",5,0,0
225,The Exorcist,1973,R,2h 2m,8.1,70634,Horror,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",William Friedkin,['William Peter Blatty'],"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']",2,0,0
226,Rush,2013,R,2h 3m,8.1,701178,"Action, Biography, Drama",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,['Peter Morgan'],"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde']",1,0,0
227,Jai Bhim,2021,,2h 44m,8.7,"3,337","Crime, Drama, Mystery","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['T.J. Gnanavel', 'Rajendra Sapre']","['Suriya', 'Lijo Mol Jose', 'Manikandan K.']",0,0,0
228,Network,1976,R,2h 1m,8.1,"2,06942",Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,['Paddy Chayefsky'],"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall', 'Wesley Addy', 'Ned Beatty']",4,0,0
229,Stand by Me,1986,R,1h 29m,8.1,419193,"Adventure, Comedy, Drama",A writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner,"['Stephen King', 'Raynold Gideon', 'Bruce A. Evans']","['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell"", 'Kiefer Sutherland', 'Casey Siemaszko', 'Gary Riley', 'Bradley Gregg', 'Jason Oliver Lipsett', 'Marshall Bell', 'Frances Lee McCain', 'Bruce Kirby', 'William Bronder', 'Scott Beach', 'Richard Dreyfuss', 'John Cusack', 'Madeleine Swift']",1,0,0
230,The Wizard of Oz,1939,G,1h 42m,8.1,378344,"['Adventure', 'Family', 'Fantasy', 'Young']","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","['Victor Fleming', 'King Vidor']","['Noel Langley', 'Florence Ryerson', 'Edgar Allan Woolf']","['Judy Garland', 'Frank Morgan', 'Ray Bolger']",2,0,0
231,The Incredibles,2004,PG,1h 55m,8.0,75212,"Animation, Action, Adventure","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,['Brad Bird'],"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter']",2,0,0
232,Hachi: A Dog's Tale,2009,G,1h 33m,8.1,"1,322207","['Biography', 'Drama', 'Family']","Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.",Lasse Hallström,"['Stephen P. Lindsey', 'Kaneto Shindô']","['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']",1,0,0
